"","id","session","query","annotation","query_state"
"2398",2400,"trec-2013-70","malaria Africa charity donate","[[\http://dbpedia.org/resource/Malaria\""] [\""http://dbpedia.org/resource/Africa\""] [\""http://dbpedia.org/resource/Charity_(practice)\""] [\""http://dbpedia.org/resource/Donation\""]]""","WS"
"2401",2403,"trec-2013-71","teachers evaluation students peers","[[\http://dbpedia.org/resource/Teacher\""] [\""http://dbpedia.org/resource/Evaluation\""] [\""http://dbpedia.org/resource/Student\""] [\""http://dbpedia.org/resource/Peer_review\""]]""","WS"
"2404",2406,"trec-2013-71","teachers evaluation wikipedia","[[\http://dbpedia.org/resource/Teacher\""] [\""http://dbpedia.org/resource/Evaluation\""] [\""http://dbpedia.org/resource/Wikipedia\""]]""","WS"
"2405",2407,"trec-2013-71","teachers assement","[[\http://dbpedia.org/resource/Teacher\""] [\""http://dbpedia.org/resource/Educational_assessment\""]]""","WS"
"2406",2408,"trec-2013-71","teachers excellence","[[\http://dbpedia.org/resource/Teacher\""] [\""http://dbpedia.org/resource/Excellence\""]]""","WS"
"2407",2409,"trec-2013-71","teache assement wikipedia","[[\http://dbpedia.org/resource/Teacher\""] [\""http://dbpedia.org/resource/Educational_assessment\""] [\""http://dbpedia.org/resource/Wikipedia\""]]""","WS"
"2409",2411,"trec-2013-72","infant development \cultural effects\""""","[[\http://dbpedia.org/resource/Child_development\""]]""","WS"
"2410",2412,"trec-2013-72","infant OR child development intitle:culture","[[\http://dbpedia.org/resource/Child_development\""] [\""http://dbpedia.org/resource/Culture\""]]""","WS"
"2411",2413,"trec-2013-72","infant OR child development milestones","[[\http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2414",2416,"trec-2013-72","infant OR child \development milestones\"" site:ac.uk""","[[\http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Website\""]]""","WS"
"2415",2417,"trec-2013-72","Do infants age 0-12 months experience different developmental milestones depending on culture","[[\http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/Ageing\""] [\""http://dbpedia.org/resource/Experience\""] [\""http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2416",2418,"trec-2013-72","culture OR race infant OR child development stages OR milestones","[[\http://dbpedia.org/resource/Culture\""] [\""http://dbpedia.org/resource/Race_(human_classification)\""] [\""http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2418",2420,"trec-2013-72","infant OR child development \effect of culture\""""","[[\http://dbpedia.org/resource/Child_development\""]]""","WS"
"2419",2421,"trec-2013-72","infant OR child development \cultural differences\""""","[[\http://dbpedia.org/resource/Child_development\""] [\""http://dbpedia.org/resource/Cultural_identity\""]]""","WS"
"2423",2425,"trec-2013-73","developmental milestones infants \cultural differences\""""","[[\http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Cultural_identity\""]]""","WS"
"2425",2427,"trec-2013-74","infant development western eastern cultures","[[\http://dbpedia.org/resource/Child_development\""] [\""http://dbpedia.org/resource/Western_culture\""] [\""http://dbpedia.org/resource/Eastern_world\""] [\""http://dbpedia.org/resource/Culture\""]]""","WS"
"2426",2428,"trec-2013-74","infant development milestone cultural effects","[[\http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2427",2429,"trec-2013-74","infant development milestone \cultural differences\""""","[[\http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Cultural_identity\""]]""","WS"
"2428",2430,"trec-2013-74","infant development milestone \cultural competence""","[[\http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Cultural_competence\""]]""","WS"
"2429",2431,"trec-2013-74","infant development milestone developed and third world countries","[[\http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Developed_country\""] [\""http://dbpedia.org/resource/Third_World\""]]""","WS"
"2435",2437,"trec-2013-75","why is marijuana illegal?","[[\http://dbpedia.org/resource/Cannabis_(drug)\""] [\""http://dbpedia.org/resource/Law\""]]""","WS"
"2436",2438,"trec-2013-75","is marijuana worse for your health than alcohol?","[[\http://dbpedia.org/resource/Cannabis_(drug)\""] [\""http://dbpedia.org/resource/Health\""] [\""http://dbpedia.org/resource/Alcohol\""]]""","WS"
"2443",2445,"trec-2013-77","high calorie food tax evidence based","[[\http://dbpedia.org/resource/Calorie\""] [\""http://dbpedia.org/resource/Food\""] [\""http://dbpedia.org/resource/Tax\""] [\""http://dbpedia.org/resource/Evidence\""]]""","WS"
"2444",2446,"trec-2013-77","high calorie snack tax evidence based","[[\http://dbpedia.org/resource/Calorie\""] [\""http://dbpedia.org/resource/Snack_food\""] [\""http://dbpedia.org/resource/Tax\""] [\""http://dbpedia.org/resource/Evidence\""]]""","WS"
"2445",2447,"trec-2013-77","government intervention tax \junk food\""""","[[\http://dbpedia.org/resource/Fat_tax\""]]""","WS"
"2447",2449,"trec-2013-78","tax on junk food","[[\http://dbpedia.org/resource/Tax\""] [\""http://dbpedia.org/resource/Junk_food\""]]""","WS"
"2449",2451,"trec-2013-79","food ban","[[\http://dbpedia.org/resource/Food\""] [\""http://dbpedia.org/resource/Ban_(law)\""]]""","WS"
"2453",2455,"trec-2013-81","should numbers of women and minorities in workplace be contolled","[[\http://dbpedia.org/resource/Number\""] [\""http://dbpedia.org/resource/Woman\""] [\""http://dbpedia.org/resource/Minority_group\""] [\""http://dbpedia.org/resource/Workplace\""]]""","WS"
"2457",2459,"trec-2013-83","phd business salaries","[[\http://dbpedia.org/resource/PhD_in_management\""] [\""http://dbpedia.org/resource/Salary\""]]""","WS"
"2458",2460,"trec-2013-83","business phd funding","[[\http://dbpedia.org/resource/PhD_in_management\""] [\""http://dbpedia.org/resource/Funding\""]]""","WS"
"2459",2461,"trec-2013-83","business phd vs masters","[[\http://dbpedia.org/resource/PhD_in_management\""] [\""http://dbpedia.org/resource/Master's_degree\""]]""","WS"
"2460",2462,"trec-2013-83","business phd duration","[[\http://dbpedia.org/resource/PhD_in_management\""]]""","WS"
"2461",2463,"trec-2013-83","business phd income","[[\http://dbpedia.org/resource/PhD_in_management\""] [\""http://dbpedia.org/resource/Income\""]]""","WS"
"2476",2478,"trec-2013-87","hartford visitors","[[\http://dbpedia.org/resource/Hartford_Connecticut\""]]""","WS"
"2477",2479,"trec-2013-87","hartford connecticut tourism","[[\http://dbpedia.org/resource/Hartford_Connecticut\""] [\""http://dbpedia.org/resource/Connecticut\""] [\""http://dbpedia.org/resource/Tourism\""]]""","WS"
"2478",2480,"trec-2013-87","hartford boston travel","[[\http://dbpedia.org/resource/Hartford_Connecticut\""] [\""http://dbpedia.org/resource/Boston\""] [\""http://dbpedia.org/resource/Travel\""]]""","WS"
"2479",2481,"trec-2013-87","boston tourism","[[\http://dbpedia.org/resource/Boston\""] [\""http://dbpedia.org/resource/Tourism\""]]""","WS"
"2480",2482,"trec-2013-87","nyc tourism","[[\http://dbpedia.org/resource/New_York_City\""] [\""http://dbpedia.org/resource/Tourism\""]]""","WS"
"2481",2483,"trec-2013-87","philadelphia nyc distance","[[\http://dbpedia.org/resource/Philadelphia\""] [\""http://dbpedia.org/resource/New_York_City\""] [\""http://dbpedia.org/resource/Distance\""]]""","WS"
"2482",2484,"trec-2013-87","philadelphia washington dc distance","[[\http://dbpedia.org/resource/Philadelphia\""] [\""http://dbpedia.org/resource/Washington_D.C.\""] [\""http://dbpedia.org/resource/Distance\""]]""","WS"
"2483",2485,"trec-2013-87","philadelphia tourism","[[\http://dbpedia.org/resource/Philadelphia\""] [\""http://dbpedia.org/resource/Tourism\""]]""","WS"
"2484",2486,"trec-2013-87","washington dc tourism","[[\http://dbpedia.org/resource/Washington_D.C.\""] [\""http://dbpedia.org/resource/Tourism\""]]""","WS"
"2486",2488,"trec-2013-87","philadelphia nyc train","[[\http://dbpedia.org/resource/Philadelphia\""] [\""http://dbpedia.org/resource/New_York_City\""] [\""http://dbpedia.org/resource/Train\""]]""","WS"
"2487",2489,"trec-2013-87","philadelphia nyc bus","[[\http://dbpedia.org/resource/Philadelphia\""] [\""http://dbpedia.org/resource/New_York_City\""] [\""http://dbpedia.org/resource/Bus\""]]""","WS"
"2500",2502,"trec-2010-100","forearm braces","[[\http://dbpedia.org/resource/Forearm\""] [\""http://dbpedia.org/resource/Orthotics\""]]""","WS"
"2504",2506,"trec-2010-102","obama's mother","[[\http://dbpedia.org/resource/Barack_Obama\""] [\""http://dbpedia.org/resource/Ann_Dunham\""]]""","WS"
"2508",2510,"trec-2010-104","hoboken map","[[\http://dbpedia.org/resource/Hoboken_New_Jersey\""] [\""http://dbpedia.org/resource/Map\""]]""","WS"
"2510",2512,"trec-2010-105","orange county convention center events","[[\http://dbpedia.org/resource/Orange_County_Convention_Center\""]]""","WS"
"2512",2514,"trec-2010-106","identify different types of moths","[[\http://dbpedia.org/resource/Identification_key\""] [\""http://dbpedia.org/resource/Species\""] [\""http://dbpedia.org/resource/Moth\""]]""","WS"
"2524",2526,"trec-2010-112","hotels rincon puerto rico","[[\http://dbpedia.org/resource/Hotel\""] [\""http://dbpedia.org/resource/Rincon,_Puerto_Rico\""] [\""http://dbpedia.org/resource/Puerto_Rico\""]]""","WS"
"2534",2536,"trec-2010-117","deadliest tornadoes","[[\http://dbpedia.org/resource/Lethality\""] [\""http://dbpedia.org/resource/Tornado\""]]""","WS"
"2542",2544,"trec-2010-121","music man script","[[\http://dbpedia.org/resource/The_Music_Man\""] [\""http://dbpedia.org/resource/Play_(theatre)\""]]""","WS"
"2554",2556,"trec-2010-127","building raised garden bed","[[\http://dbpedia.org/resource/Do_it_yourself\""] [\""http://dbpedia.org/resource/Raised-bed_gardening\""]]""","WS"
"2566",2568,"trec-2010-133","dog heat illnesses","[[\http://dbpedia.org/resource/Dog\""] [\""http://dbpedia.org/resource/Heat_illness\""]]""","WS"
"2586",2588,"trec-2010-143","obama mother bio","[[\http://dbpedia.org/resource/Ann_Dunham\""] [\""http://dbpedia.org/resource/Biography\""]]""","WS"
"2594",2596,"trec-2010-147","afghanistan history","[[\http://dbpedia.org/resource/History_of_Afghanistan\""] [\""http://dbpedia.org/resource/Afghanistan\""] [\""http://dbpedia.org/resource/History\""]]""","WS"
"2596",2598,"trec-2010-148","arizona regulations hunting fishing","[[\http://dbpedia.org/resource/Arizona\""] [\""http://dbpedia.org/resource/Regulation\""] [\""http://dbpedia.org/resource/Hunting\""] [\""http://dbpedia.org/resource/Fishing\""]]""","WS"
"2598",2600,"trec-2010-149","practice gmat exams","[[\http://dbpedia.org/resource/Practice_(learning_method)\""] [\""http://dbpedia.org/resource/Graduate_Management_Admission_Test\""] [\""http://dbpedia.org/resource/Test_(assessment)\""]]""","WS"
"2600",2602,"trec-2010-150","wedding shower ideas","[[\http://dbpedia.org/resource/Bridal_shower\""] [\""http://dbpedia.org/resource/Idea\""]]""","WS"
